survey_code,grassAns,grassNum,forbAns,forbNum,interestScale,strategies,stratA,stratB,stratC,stratD,stratE,favorite,comments
12-4,8,8,10-15,12.5,4,"b, c, e",,1,1,,1,"I really love the tall grasses (big bluestem, inidangrass, and switchgrass) and tall forbs (compass plant)","Thank you for all the hard work you are doing. I am really looking fowrad to the results. I am planning to burn all my strips next spring and spot spray to control noxious weeds, primarily canada thistle. I am expecting a great response from the prairie plants. "
12-9,2 or 3,2.5,4 or 5,4.5,3,"c, d",,,1,1,,wild bergamont,
13-20,10-12,11,<15,15,4,"b, c, d, e",,1,1,1,1,"butterfly milkweed, asters, little blue stem",I'd really like to learn what properties are in different forbs and they impact my cattle 
14-12,,,,,,,,,,,,,
14-14,10,10,50,50,5,"a, b, c, d, e, ",1,1,1,1,1,silky aster,
14-18,8-10 in bloom,9,25? In bloom,25,5,"a, b, c, d, e, ",1,1,1,1,1,I have too many to choose one,
14-19,3,3,4,4,4,d,,,,1,,buttercup,I look forward to this collaboration so I may become a better promotor of prairie plants
14-2,4,4,20,20,3,"d, e",,,,1,1,butterly weed,
14-21,,,,,,,,,,,,,
14-6,7,7,30-35,32.5,5,"a, b, c, d, e, ",1,1,1,1,1,"There are so many - rattlesnake master, sideoats gramma, cupplant, compass plant and butterfly milkweed. ","My brother, who does soil sampling, has agreed to sample our prairie strips each year so we can track change in the soil quality. "
14-7,2,2,5-10,7.5,1,"b, c, d, e",,1,1,1,1,blue stem and conflower,
15-11,,,,,,,,,,,,,
15-13,6-8,7,4-7,5.5,5,"c, d, e",,,1,1,1,"prairie smoke, rattlesnake master, big and little bluestem, prairie blanket clover (?), mimosa","You did a great job in communicating with me, Lydia. I am anxious to hear about your results. "
15-15,4,4,9,9,5,"b, c, d",,1,1,1,,purple coneflower,Looking forward to learning how to identify more prairie species
15-5,2,2,5,5,5,"d, e",,,,1,1,I like the diverse community rather than an invidual species,
15-8,3,3,5,5,4,"d, e",,,,1,1,I can't say I have one,
16-1,1,1,1,1,1,"c, d, e",,,1,1,1,,If the need arises to make identification we will make happen. At this time we will rely on project leaders. 
16-10,,,,,,,,,,,,,
16-16,8-9,8.5,30,30,5,"a, b, c, d, e, ",1,1,1,1,1,silphium - because of the aldo leopold essay,prairie is a longtime passion!
16-17,3,3,2,2,4,d,,,,1,,black eyed susan,thank you for your help 
16-3,3,3,3,3,4,"c,e",,,1,,1,black eyed susan,
