siteID,achmi,agafo,anevi,ascin,asctu,ascve,astca,bapal,boucu,carvu,chafa,corti,dalca,dalpu,desca,desil,echpa,eryyu,eupde,genal,helgr,helhe,hella,koema,lesca,liapy,monfi,oenbi,potar,pycvi,rudhi,ruehu,silin,silla,silpe,solri,symer,symla,symno,symoo,traoh,verfa,verst,vervi,zizau
BUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMW,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GES,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
GOS,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
GUT,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,,,,,,,,,
HOE,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
ISB,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
MQW,,,,,1,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
MRS,,,1,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,
MUG,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,1,,,,,,,
NYK,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
POW,,,,,1,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,
RDM,,,,,1,1,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,
ROD,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
SER,,,,,,,,,,,,,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
SLO,,,,,,,1,,1,,1,,,1,1,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,
SME,,,,1,,,,1,,1,,,,,1,,,1,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,
SMI,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,
STN,1,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,1,,1,,,,1,1,,,
STT,1,,,,1,,,,1,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
WAT,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,
