siteID,speciesID
NYK,symer
NYK,solri
NYK,silla
NYK,potar
GUT,silla
GUT,helpa
GUT,silin
GUT,silpe
GUT,pycvi
GUT,echpa
GUT,symer
GUT,helgr
GUT,bapal
GUT,vervi
GUT,rudsu
GUT,potar
GUT,astca
GUT,lesca
GUT,liapy
ARM,bapal
ARM,lesca
ARM,anevi
ARM,ascin
ARM,vervi
ARM,dalpu
ARM,koema
ARM,desca
ARM,desil
ARM,dalca
GES,desca
GES,eupco
GES,echpa
GES,pycvi
GES,zizau
GES,dalpu
GES,astca
GES,rudhi
GES,asctu
GES,aquca
GES,carvu
GES,lesca
GES,silla
GES,bapal
GES,desil
GES,dalca
BUE,verst
BUE,echpa
BUE,potar
BUE,symno
BUE,solri
BUE,pendi
BUE,eryyu
RDM,symno
RDM,verfa
RDM,symla
RDM,artlu
RDM,broka
RDM,parin
RDM,silla
RDM,pycte
RDM,ascin
RDM,rudsu
RDM,echpu
RDM,eutpu
RDM,silin
RDM,solri
RDM,astca
ROD,carvu
ROD,monfi
SLO,boucu
SLO,chafa
SLO,verst
SLO,echpa
SLO,eryyu
SLO,eutpu
SLO,astca
SLO,vervi
SLO,symno
SLO,eupse
SME,echpa
SME,solri
SME,zizau
SME,eryyu
SME,desil
SME,dalpu
SME,helhe
SME,silla
SME,dalca
SME,chafa
SME,elyca
SME,asctu
STN,potar
STN,achmi
STN,helgi
STN,silpe
STN,silin
STN,symer
STN,traoh
STN,astca
STN,pycvi
STN,desca
STN,dalpu
STN,echpa
SMI,zizau
SMI,liapy
SMI,symno
SMI,chafa
SMI,desil
SMI,silpe
SMI,eupco
ISB,zizau
ISB,verst
ISB,verfa
ISB,symno
ISB,silpe
ISB,echpu
ISB,verha
ISB,chafa
MQW, chafa
MQW,dalpu
MQW,pendi
MQW,silin
MQW,symno
MQW,silpe
MQW,eryyu
MQW,dalca
MQW,boucu
MQW,traoh
MQW,desca
MQW,asctu
WOR,carvu
WOR,desil
WOR,eupco
WOR,lesca
WOR,silla
WOR,ruehu
WOR,verst
MRS,potar
MRS,vervi
MRS,oenbi
MRS,bapal
MRS,dalpu
MRS,echpu
MRS,asctu
MRS,ascsy
MRS,ascve
MRS,boucu
MRS,silla
MRS,desca
MRS,desil
MRS,ruehu
MRS,sympi
MRS,eupco
MRS,lesca
MUG,chafa
MUG,echpa
MUG,asctu
MUG,agafo
MUG,desil
MUG,zizau
MUG,verst
MUG,potar
MUG,carvu
HOE,dalpu
HOE,dalca
HOE,lesca
HOE,eryyu
HOE,corti
HOE,desil
HOE,helma
HOE,symno
HOE,ascin
HOE,astca
POW,lesca
POW,astca
POW,pycvi
POW,traoh
POW,pendi
POW,asctu
RHO,silin
RHO,ruehu
RHO,asctu
RHO,ascve
RHO,solri
RHO,echpa
RHO,ascin
RHO,boucu
RHO,silla
RHO,eryyu
STT,echpu
STT,dalpu
STT,artlu
STT,chafa
STT,oenbi
STT,desca
STT,dalca
STT,eupse
STT,phyvi
STT2,ratco
STT2,asctu
STT2,astca
STT2,verha
STT2,verst
STT2,corti
SER,bapal
SER,eupco
MCN,zizau
MCN,pendi
MCN,helgr
MCN,traoh
MCN,silin
MCN,echpu
MCN,boucu
MCN,ascin
WHI,corpa
WHI,dalca
WHI,lesca
WHI,silla
WHI,silin
WHI,silpe
WHI,achmi
WHI,bapbr
WHI,verst
WHI,desil
WHI,pycvi
WHI,bapal
WHI,desca
WHI,monfi
GOS,helma
GOS,carvu
GOS,monfi
GOS,dalpu
DMW,ratpi
DMW,carvu
DMW,boucu
DMW,verst
