siteID,speciesID,PLS_lbs_acre
HOE,achmi,0.15
HOE,andge,2.19
HOE,ascsy,0.01
HOE,astca,0.1
HOE,boucu,0.6
HOE,chafa,0.65
HOE,corti,0.2
HOE,dalca,0.06
HOE,dalpu,0.2
HOE,desil,0.76
HOE,elyca,0.6
HOE,elyvi,0.65
HOE,eryyu,0.03
HOE,gaiar,0.1
HOE,helhe,0.1
HOE,lesca,0.02
HOE,linle,0.15
HOE,monfi,0.02
HOE,oenbi,0.02
HOE,panvi,0.76
HOE,potar,0.03
HOE,ratpi,0.06
HOE,rudhi,0.16
HOE,schsc,0.53
HOE,solri,0.02
HOE,sornu,1.26
HOE,vervi,0.003
HOE,zizau,0.009734513
SLO,andge,1.2
SLO,sornu,1.25
SLO,boucu,1
SLO,panvi,0.4
SLO,elyca,0.4
SLO,elyvi,0.4
SLO,schsc,1
SLO,spoco,0.5
SLO,spohe,0.01
SLO,koema,0.01
SLO,carvu,0.08
SLO,rudhi,0.1
SLO,chafa,0.05
SLO,ratpi,0.05
SLO,monfi,0.04
SLO,heuri,0.005
SLO,potar,0.01
SLO,vervi,0.005
SLO,solri,0.03
SLO,zizau,0.03
SLO,dalpu,0.1
SLO,verst,0.025
SLO,echpa,0.015
SLO,symoo,0.01
SLO,solca,0.01
SLO,eryyu,0.015
SLO,achmi,0.01
SLO,astca,0.05
SLO,eutpu,0.01
ROD,andge,1.9
ROD,sornu,1.9
ROD,spoco,0.5
ROD,panvi,0.4
ROD,elyca,0.3
ROD,elyvi,0.2
ROD,schsc,0.5
ROD,boucu,0.5
ROD,carvu,0.065
ROD,rudhi,0.15
ROD,vervi,0.15
ROD,ratpi,0.5
ROD,monfi,0.08
ROD,dalpu,0.08
ROD,chafa,0.12
ROD,solca,0.01
ROD,verst,0.01
RDM,broka,0.17
RDM,elyca,0.439
RDM,caran,0.03
RDM,carbi,0.04
RDM,cargr,0.004
RDM,carmo,0.054
RDM,andge,0.817
RDM,boucu,0.994
RDM,schsc,0.534
RDM,sornu,0.71
RDM,spoco,0.363
RDM,spohe,0.018
RDM,amoca,0.061
RDM,astca,0.256
RDM,bapal,0.08
RDM,chafa,0.403
RDM,dalpu,0.581
RDM,desca,0.198
RDM,artlu,0.031
RDM,ascin,0.091
RDM,ascsy,0.109
RDM,asctu,0.032
RDM,echpa,0.206
RDM,eryyu,0.116
RDM,galbo,0.01
RDM,helgr,0.046
RDM,helhe,0.346
RDM,liapy,0.059
RDM,monfi,0.063
RDM,solri,0.106
RDM,pycte,0.023
RDM,ratpi,0.291
RDM,rudhi,0.048
RDM,rudsu,0.101
RDM,silin,0.114
RDM,silla,0.124
RDM,solsp,0.046
RDM,symla,0.064
RDM,symno,0.054
RDM,traoh,0.109
RDM,verfa,0.068
RDM,zizau,0.149
SMI,monfi,0.05
SMI,rudhi,0.04375
SMI,ratpi,0.09375
SMI,desca,0.1875
SMI,silin,0.26875
SMI,chafa,0.1875
SMI,dalpu,0.15625
SMI,corpa,0.125
SMI,silla,0.09375
SMI,symoo,0.0625
SMI,eryyu,0.0625
SMI,helhe,0.0625
SMI,liapy,0.0625
SMI,zizau,0.0625
SMI,genan,0.0625
SMI,asctu,0.075
SMI,solri,0.03125
SMI,symno,0.03125
SMI,parin,0.0625
SMI,andge,2
SMI,sornu,1.5
SMI,schsc,1
SMI,boucu,1.8
SMI,elyca,1
SMI,panvi,0.3
MQW,andge,2.5
MQW,schsc,1.875
MQW,boucu,0.4375
MQW,elyca,0.625
MQW,koema,0.0625
MQW,sornu,0.625
MQW,spoco,0.3125
MQW,achmi,0.0788
MQW,asctu,0.0125
MQW,symno,0.0125
MQW,astca,0.0788
MQW,chafa,0.3125
