siteID,speciesID
ARM,andge
ARM,anevi
ARM,aquca
ARM,ascin
ARM,ascsy
ARM,asctu
ARM,ascve
ARM,bapal
ARM,boucu
ARM,carvu
ARM,chafa
ARM,dalca
ARM,dalpu
ARM,desil
ARM,desca
ARM,echpa
ARM,elyca
ARM,eryyu
ARM,eupco
ARM,helhe
ARM,heuri
ARM,koema
ARM,lesca
ARM,liaas
ARM,monfi
ARM,oenbi
ARM,potar
ARM,ratpi
ARM,rudhi
ARM,ruehu
ARM,schsc
ARM,silla
ARM,solri
ARM,sornu
ARM,spohe
ARM,symer
ARM,symla
ARM,symoo
ARM,vervi
ARM,zizau
BUE,achmi
BUE,agafo
BUE,andge
BUE,asctu
BUE,astca
BUE,boucu
BUE,carvu
BUE,chafa
BUE,dalpu
BUE,desil
BUE,echpa
BUE,elyca
BUE,elyvi
BUE,helhe
BUE,helma
BUE,koema
BUE,monfi
BUE,oenbi
BUE,panvi
BUE,potar
BUE,ratco
BUE,ratpi
BUE,rudhi
BUE,schsc
BUE,solri
BUE,sornu
BUE,spoco
BUE,symla
BUE,symno
BUE,traoh
BUE,verha
BUE,verst
BUE,vervi
BUE,zizap
BUE,zizau
DMW,andge
DMW,astca
DMW,boucu
DMW,carvu
DMW,chafa
DMW,dalpu
DMW,desil
DMW,echpa
DMW,elyca
DMW,elyvi
DMW,eryyu
DMW,eutpu
DMW,koema
DMW,monfi
DMW,panvi
DMW,potar
DMW,ratpi
DMW,rudhi
DMW,schsc
DMW,solne
DMW,sornu
DMW,spoco
DMW,spohe
DMW,symoo
DMW,verst
DMW,vervi
DMW,zizau
GES,amoca
GES,andge
GES,anevi
GES,aquca
GES,asctu
GES,astca
GES,bapal
GES,carvu
GES,chafa
GES,dalca
GES,dalpu
GES,desil
GES,desca
GES,echpa
GES,elyca
GES,elyvi
GES,eryyu
GES,eupco
GES,helhe
GES,lesca
GES,monfi
GES,oenbi
GES,panvi
GES,phyvi
GES,potar
GES,pycvi
GES,ratpi
GES,rudhi
GES,ruehu
GES,silla
GES,solri
GES,sornu
GES,spohe
GES,symer
GES,symla
GES,symoo
GES,vervi
GES,zizau
GUT,andge
GUT,astca
GUT,bapal
GUT,brieu
GUT,ciral
GUT,dalpu
GUT,desca
GUT,echpa
GUT,eryyu
GUT,genal
GUT,genan
GUT,helau
GUT,helhe
GUT,helgi
GUT,helgr
GUT,lesca
GUT,liaas
GUT,lobsp
GUT,lycam
GUT,lysqu
GUT,lytal
GUT,panvi
GUT,potar
GUT,pycvi
GUT,ratpi
GUT,schsc
GUT,silin
GUT,silla
GUT,silpe
GUT,solca
GUT,solri
GUT,sornu
GUT,spoco
GUT,spohe
GUT,symer
GUT,symla
GUT,sympi
GUT,thada
GUT,verst
GUT,vervi
GUT,zizau
HOE,achmi
HOE,andge
HOE,ascsy
HOE,astca
HOE,boucu
HOE,chafa
HOE,corti
HOE,dalca
HOE,dalpu
HOE,desil
HOE,elyca
HOE,elyvi
HOE,eryyu
HOE,gaiar
HOE,helhe
HOE,lesca
HOE,linle
HOE,monfi
HOE,oenbi
HOE,panvi
HOE,potar
HOE,ratpi
HOE,rudhi
HOE,schsc
HOE,solri
HOE,sornu
HOE,vervi
HOE,zizau
ISB,andge
ISB,asctu
ISB,elyca
ISB,helhe
ISB,heloc
ISB,liapy
ISB,monfi
ISB,panvi
ISB,ratpi
ISB,silpe
ISB,sornu
ISB,symno
ISB,traoh
ISB,verfa
ISB,zizau
MCN,achmi
MCN,passm
MCN,elytr
MCN,amoca
MCN,andge
MCN,artlu
MCN,astca
MCN,boucu
MCN,carvu
MCN,chafa
MCN,dalca
MCN,dalpu
MCN,desil
MCN,echpa
MCN,elyca
MCN,elyvi
MCN,eryyu
MCN,helau
MCN,helhe
MCN,koema
MCN,liapy
MCN,lobsp
MCN,ludal
MCN,monfi
MCN,oenbi
MCN,panvi
MCN,pendi
MCN,potar
MCN,ratco
MCN,ratpi
MCN,rudhi
MCN,rudtr
MCN,schsc
MCN,solne
MCN,solri
MCN,sornu
MCN,spoco
MCN,symno
MCN,sympi
MCN,traoh
MCN,verfa
MCN,verha
MCN,verst
MCN,vervi
MCN,zizau
MQW,achmi
MQW,andge
MQW,asctu
MQW,astca
MQW,boucu
MQW,chafa
MQW,dalca
MQW,dalpu
MQW,desill
MQW,echpa
MQW,echpu
MQW,elyca
MQW,eryyu
MQW,helhe
MQW,hypas
MQW,koema
MQW,liapy
MQW,monfi
MQW,pendi
MQW,ratpi
MQW,rudhi
MQW,schsc
MQW,silin
MQW,silla
MQW,solne
MQW,solri
MQW,sornu
MQW,spoco
MQW,symno
MQW,traoh
MQW,verst
MQW,zizau
MRS,andge
MRS,anevi
MRS,aquca
MRS,ascin
MRS,ascsy
MRS,asctu
MRS,ascve
MRS,bapal
MRS,boucu
MRS,carvu
MRS,chafa
MRS,dalca
MRS,dalpu
MRS,desil
MRS,desca
MRS,echpa
MRS,elyca
MRS,eryyu
MRS,eupco
MRS,helhe
MRS,heuri
MRS,koema
MRS,lesca
MRS,liaas
MRS,monfi
MRS,oenbi
MRS,potar
MRS,ratpi
MRS,rudhi
MRS,ruehu
MRS,schsc
MRS,silla
MRS,solri
MRS,sornu
MRS,spohe
MRS,symer
MRS,symla
MRS,symoo
MRS,vervi
MRS,zizau
MUG,agafo
MUG,andge
MUG,astca
MUG,boucu
MUG,chafa
MUG,dalca
MUG,dalpu
MUG,desil
MUG,desca
MUG,echpa
MUG,elyca
MUG,elyvi
MUG,helhe
MUG,koema
MUG,lesca
MUG,liaas
MUG,monfi
MUG,oenbi
MUG,pengr
MUG,potar
MUG,ratco
MUG,ratpi
MUG,rudhi
MUG,schsc
MUG,spoco
MUG,spohe
MUG,symer
MUG,symla
MUG,traoh
MUG,verst
MUG,zizap
NYK,andge
NYK,anevi
NYK,aquca
NYK,ascin
NYK,ascsy
NYK,asctu
NYK,ascve
NYK,bapal
NYK,boucu
NYK,carvu
NYK,chafa
NYK,dalca
NYK,dalpu
NYK,desil
NYK,desca
NYK,echpa
NYK,elyca
NYK,eryyu
NYK,eupco
NYK,helhe
NYK,heuri
NYK,koema
NYK,lesca
NYK,liaas
NYK,monfi
NYK,oenbi
NYK,potar
NYK,ratpi
NYK,rudhi
NYK,ruehu
NYK,schsc
NYK,silla
NYK,solri
NYK,sornu
NYK,spohe
NYK,symer
NYK,symla
NYK,symoo
NYK,vervi
NYK,zizau
POW,andge
POW,ascsy
POW,asctu
POW,boucu
POW,chafa
POW,dalca
POW,dalpu
POW,desil
POW,echpa
POW,elyca
POW,elyvi
POW,helau
POW,koema
POW,monfi
POW,pengr
POW,potar
POW,pycvi
POW,ratco
POW,ratpi
POW,rudhi
POW,schsc
POW,spoco
POW,spocr
POW,symno
POW,traoh
POW,zizau
RDM,amoca
RDM,andge
RDM,artlu
RDM,ascin
RDM,ascsy
RDM,asctu
RDM,astca
RDM,bapal
RDM,boucu
RDM,broka
RDM,caran
RDM,carbi
RDM,cargr
RDM,carmo
RDM,chafa
RDM,dalpu
RDM,desca
RDM,echpa
RDM,elyca
RDM,eryyu
RDM,galbo
RDM,helhe
RDM,helgr
RDM,liapy
RDM,monfi
RDM,pycte
RDM,ratpi
RDM,rudhi
RDM,rudsu
RDM,schsc
RDM,silin
RDM,silla
RDM,solri
RDM,solsp
RDM,sornu
RDM,spoco
RDM,spohe
RDM,symla
RDM,symno
RDM,traoh
RDM,verfa
RDM,zizau
RHO,andge
RHO,anevi
RHO,aquca
RHO,ascin
RHO,ascsy
RHO,asctu
RHO,ascve
RHO,bapal
RHO,boucu
RHO,carvu
RHO,chafa
RHO,dalca
RHO,dalpu
RHO,desil
RHO,desca
RHO,echpa
RHO,elyca
RHO,eryyu
RHO,eupco
RHO,helhe
RHO,heuri
RHO,koema
RHO,lesca
RHO,liaas
RHO,monfi
RHO,oenbi
RHO,potar
RHO,ratpi
RHO,rudhi
RHO,ruehu
RHO,schsc
RHO,silla
RHO,solri
RHO,sornu
RHO,spohe
RHO,symer
RHO,symla
RHO,symoo
RHO,vervi
RHO,zizau
ROD,andge
ROD,boucu
ROD,carvu
ROD,chafa
ROD,dalpu
ROD,elyca
ROD,elyvi
ROD,monfi
ROD,panvi
ROD,ratpi
ROD,rudhi
ROD,schsc
ROD,solne
ROD,sornu
ROD,spoco
ROD,verst
ROD,vervi
SER,andge
SER,anevi
SER,aquca
SER,ascin
SER,ascsy
SER,asctu
SER,ascve
SER,bapal
SER,boucu
SER,carvu
SER,chafa
SER,dalca
SER,dalpu
SER,desil
SER,desca
SER,echpa
SER,elyca
SER,eryyu
SER,eupco
SER,helhe
SER,heuri
SER,koema
SER,lesca
SER,liaas
SER,monfi
SER,oenbi
SER,potar
SER,ratpi
SER,rudhi
SER,ruehu
SER,schsc
SER,silla
SER,solri
SER,sornu
SER,spohe
SER,symer
SER,symla
SER,symoo
SER,vervi
SER,zizau
SLO,andge
SLO,astca
SLO,boucu
SLO,carvu
SLO,chafa
SLO,dalpu
SLO,desil
SLO,echpa
SLO,elyca
SLO,elyvi
SLO,eryyu
SLO,eutpu
SLO,heuri
SLO,koema
SLO,monfi
SLO,panvi
SLO,potar
SLO,ratpi
SLO,rudhi
SLO,schsc
SLO,solne
SLO,solri
SLO,sornu
SLO,spoco
SLO,spohe
SLO,symoo
SLO,verst
SLO,vervi
SLO,zizau
SMI,andge
SMI,asctu
SMI,boucu
SMI,chafa
SMI,corpa
SMI,dalpu
SMI,desca
SMI,elyca
SMI,eryyu
SMI,genan
SMI,helhe
SMI,liapy
SMI,monfi
SMI,panvi
SMI,parin
SMI,ratpi
SMI,rudhi
SMI,schsc
SMI,silin
SMI,silla
SMI,solri
SMI,sornu
SMI,symoo
SMI,symno
SMI,zizau
STN,andge
STN,astca
STN,bapal
STN,brieu
STN,ciral
STN,dalpu
STN,desca
STN,echpa
STN,elyca
STN,eryyu
STN,genal
STN,genan
STN,helau
STN,helhe
STN,helgi
STN,helgr
STN,lesca
STN,liaas
STN,lobsp
STN,lycam
STN,lysqu
STN,lytal
STN,panvi
STN,potar
STN,pycvi
STN,ratpi
STN,schsc
STN,silin
STN,silla
STN,silpe
STN,solca
STN,solri
STN,sornu
STN,spoco
STN,spohe
STN,symer
STN,symla
STN,sympi
STN,thada
STN,verst
STN,vervi
STN,zizau
WHI,amoca
WHI,andge
WHI,aneca
WHI,arnpl
WHI,artlu
WHI,asctu
WHI,bapal
WHI,bapbr
WHI,boucu
WHI,carmo
WHI,cartr
WHI,carvu
WHI,chafa
WHI,corpa
WHI,dalca
WHI,dalpu
WHI,delvi
WHI,desill
WHI,desca
WHI,echpa
WHI,elyca
WHI,eryyu
WHI,eupco
WHI,genpu
WHI,helhe
WHI,koema
WHI,lesca
WHI,liaas
WHI,liapy
WHI,monfi
WHI,panvi
WHI,potar
WHI,pycvi
WHI,ratpi
WHI,rosar
WHI,rudhi
WHI,schsc
WHI,silin
WHI,silla
WHI,solne
WHI,solri
WHI,solsp
WHI,sornu
WHI,spoco
WHI,spohe
WHI,symer
WHI,symob
WHI,symoo
WHI,symno
WHI,symse
WHI,trabr
WHI,traoh
WHI,verfa
WHI,vervi
WOR,andge
WOR,anevi
WOR,aquca
WOR,ascin
WOR,ascsy
WOR,asctu
WOR,ascve
WOR,bapal
WOR,boucu
WOR,carvu
WOR,chafa
WOR,dalca
WOR,dalpu
WOR,desil
WOR,desca
WOR,echpa
WOR,elyca
WOR,eryyu
WOR,eupco
WOR,helhe
WOR,heuri
WOR,koema
WOR,lesca
WOR,liaas
WOR,monfi
WOR,oenbi
WOR,potar
WOR,ratpi
WOR,rudhi
WOR,ruehu
